service_date,day_type,bus,rail_boardings,total_rides
2023-01-01,U,164489,140776,305265
2023-01-02,U,254124,165797,419921
2023-01-03,W,383247,275846,659093
2023-01-04,W,398456,292474,690930
2023-01-05,W,384238,292708,676946
2023-01-06,W,371923,258636,630559
2023-01-07,A,272633,183930,456563
2023-01-08,U,209397,145377,354774
2023-01-09,W,449465,296803,746268
2023-01-10,W,499769,345615,845384
2023-01-11,W,499126,343468,842594
2023-01-12,W,474679,340171,814850
2023-01-13,W,443233,292169,735402
2023-01-14,A,288502,201672,490174
2023-01-15,U,220389,154138,374527
2023-01-16,W,295880,196321,492201
2023-01-17,W,496926,344762,841688
2023-01-18,W,495410,346875,842285
2023-01-19,W,479283,347238,826521
2023-01-20,W,457848,296350,754198
2023-01-21,A,285487,196802,482289
2023-01-22,U,201809,140538,342347
2023-01-23,W,468304,307836,776140
2023-01-24,W,505791,355136,860927
2023-01-25,W,462648,337076,799724
2023-01-26,W,484428,350067,834495
2023-01-27,W,435531,290048,725579
2023-01-28,A,270454,190883,461337
2023-01-29,U,199420,144673,344093
2023-01-30,W,420711,284230,704941
2023-01-31,W,428116,311121,739237
2023-02-01,W,488390,332706,821096
2023-02-02,W,488230,339244,827474
2023-02-03,W,367206,247871,615077
2023-02-04,A,295858,188543,484401
2023-02-05,U,228506,147681,376187
2023-02-06,W,489061,304675,793736
2023-02-07,W,512128,348998,861126
2023-02-08,W,517223,348441,865664
2023-02-09,W,456891,326676,783567
2023-02-10,W,480757,289003,769760
2023-02-11,A,305427,182401,487828
2023-02-12,U,228971,139964,368935
2023-02-13,W,477325,298814,776139
2023-02-14,W,510605,355572,866177
2023-02-15,W,498251,346762,845013
2023-02-16,W,450939,324574,775513
2023-02-17,W,447365,297527,744892
2023-02-18,A,307618,213471,521089
2023-02-19,U,241433,167599,409032
2023-02-20,W,371110,251523,622633
2023-02-21,W,512268,349053,861321
2023-02-22,W,445175,320183,765358
2023-02-23,W,500377,349987,850364
2023-02-24,W,468093,303528,771621
2023-02-25,A,313877,199947,513824
2023-02-26,U,246373,152718,399091
2023-02-27,W,438886,284156,723042
2023-02-28,W,516342,350093,866435
2023-03-01,W,538035,357399,895434
2023-03-02,W,505862,352552,858414
2023-03-03,W,441984,285055,727039
2023-03-04,A,332481,209545,542026
2023-03-05,U,246208,156086,402294
2023-03-06,W,470524,303195,773719
2023-03-07,W,528413,362941,891354
2023-03-08,W,521850,359517,881367
2023-03-09,W,498577,352220,850797
2023-03-10,W,466305,312533,778838
2023-03-11,A,326961,340919,667880
2023-03-12,U,215765,159274,375039
2023-03-13,W,459265,307389,766654
2023-03-14,W,524325,366497,890822
2023-03-15,W,535449,367880,903329
2023-03-16,W,499382,360728,860110
2023-03-17,W,435055,319561,754616
2023-03-18,A,284653,199267,483920
2023-03-19,U,238907,157695,396602
2023-03-20,W,478059,300593,778652
2023-03-21,W,510959,347098,858057
2023-03-22,W,499380,340260,839640
2023-03-23,W,489519,342562,832081
2023-03-24,W,475520,306297,781817
2023-03-25,A,287548,202198,489746
2023-03-26,U,222855,179536,402391
2023-03-27,W,493436,320115,813551
2023-03-28,W,521594,365749,887343
2023-03-29,W,470430,353192,823622
2023-03-30,W,517477,388264,905741
2023-03-31,W,467904,309609,777513
2023-04-01,A,315267,235235,550502
2023-04-02,U,261251,191192,452443
2023-04-03,W,439537,304009,743546
2023-04-04,W,428000,325448,753448
2023-04-05,W,438936,335701,774637
2023-04-06,W,459977,353018,812995
2023-04-07,W,419926,312653,732579
2023-04-08,A,333736,244038,577774
2023-04-09,U,237320,168475,405795
2023-04-10,W,492576,324608,817184
2023-04-11,W,539533,388288,927821
2023-04-12,W,516841,388965,905806
2023-04-13,W,541076,386440,927516
2023-04-14,W,518497,353807,872304
2023-04-15,A,360082,254964,615046
2023-04-16,U,229968,157603,387571
2023-04-17,W,458530,310077,768607
2023-04-18,W,523866,378471,902337
2023-04-19,W,527267,380103,907370
2023-04-20,W,516298,393967,910265
2023-04-21,W,505681,360742,866423
2023-04-22,A,329493,240134,569627
2023-04-23,U,245927,174185,420112
2023-04-24,W,502642,328298,830940
2023-04-25,W,516696,378228,894924
2023-04-26,W,539161,388688,927849
2023-04-27,W,532971,395661,928632
2023-04-28,W,503332,340242,843574
2023-04-29,A,331120,224434,555554
2023-04-30,U,238929,165311,404240
2023-05-01,W,482348,315630,797978
2023-05-02,W,530573,372211,902784
2023-05-03,W,555155,381538,936693
2023-05-04,W,542958,391265,934223
2023-05-05,W,518792,367635,886427
